,Member,Party Name,Constituency
0,"A. Raja, Shri",Dravida Munnetra Kazhagam,Nilgiris (SC)(Tamil Nadu)
1,"Abbaiah, Shri Narayana Swamy",Bharatiya Janata Party,Chitradurga (SC)(Karnataka)
2,"Abdullah, Dr. Farooq",Jammu and Kashmir National Conference,Srinagar (Jammu and Kashmir)
3,"Adhikari, Shri Deepak (Dev)",All India Trinamool Congress,Ghatal (West Bengal)
4,"Adhikari, Shri Dibyendu",All India Trinamool Congress,Tamluk (West Bengal)
5,"Adhikari, Shri Sisir Kumar",All India Trinamool Congress,Kanthi (West Bengal)
6,Adv. A. M. Ariff,Communist Party of India (Marxist),Alappuzha (Kerala)
7,"Agrawal, Shri Rajendra",Bharatiya Janata Party,Meerut (Uttar Pradesh)
8,"Ahluwalia, Shri S.S.",Bharatiya Janata Party,Bardhaman-Durgapur (West Bengal)
9,"Ahmed, Smt. Sajda",All India Trinamool Congress,Uluberia (West Bengal)
10,"Ajgalley, Shri Guharam",Bharatiya Janata Party,Janjgir-Champa (SC)(Chhattisgarh)
11,"Ajmal, Maulana Badruddin",All India United Democratic Front,Dhubri (Assam)
12,"Ambareesh, Smt. Sumalatha",Independent,Mandya (Karnataka)
13,"Angadi, Smt. Mangal Suresh",Bharatiya Janata Party,Belgaum (Karnataka)
14,"Annadurai, Shri C.N.",Dravida Munnetra Kazhagam,Tiruvannamalai (Tamil Nadu)
15,"Annpurna Devi, Smt.",Bharatiya Janata Party,Kodarma (Jharkhand)
16,"Ansari, Shri Afzal",Bahujan Samaj Party,Ghazipur (Uttar Pradesh)
17,"Antony, Shri Anto",Indian National Congress,Pathanamthitta (Kerala)
18,"Aujla, Shri Gurjeet Singh",Indian National Congress,Amritsar (Punjab)
19,"Azad, Smt. Sangeeta",Bahujan Samaj Party,Lalganj (SC)(Uttar Pradesh)
20,"B.N. , Shri Bache Gowda",Bharatiya Janata Party,Chikkballapur (Karnataka)
21,"Baalu, Shri Thalikkottai Rajuthevar",Dravida Munnetra Kazhagam,Sriperumbudur (Tamil Nadu)
22,"Babul Supriyo, Shri",Bharatiya Janata Party,Asansol (West Bengal)
23,"Badal, Smt. Harsimrat Kaur",Shiromani Akali Dal,Bathinda (Punjab)
24,"Badal, Shri Sukhbir Singh",Shiromani Akali Dal,Ferozpur (Punjab)
25,"Baghel, Prof. S.P. Singh",Bharatiya Janata Party,Agra (SC)(Uttar Pradesh)
